tablerownames,ticker,company,constituentStart,constituentEnd,industryCode,industry
247,FLS.US Equity,Flowserve Corporation,2008-10-01,null,201060,Machinery
248,FMC.US Equity,FMC Corp,2009-08-18,null,151010,Chemicals
249,FMCC.US Equity,Freddie Mac (FHLMC),1991-12-31,2008-09-09,401020,Thrifts & Mortgage Finance
250,FNMA.US Equity,Fannie Mae (FNMA),1988-08-11,2008-09-09,401020,Thrifts & Mortgage Finance
251,FOSL.US Equity,Fossil Group,2012-04-03,2016-01-03,252030,"Textiles, Apparel & Luxury Goods"
254,FRT.US Equity,Federal Realty Investment Trust,2016-01-29,null,601010,Equity Real Estate Investment Trusts (REITs)
255,FRX.US Equity,Forest Laboratories Inc,2000-11-21,2014-06-29,352020,Pharmaceuticals
256,FSLR.US Equity,First Solar Inc,2009-10-15,2017-03-18,453010,Semiconductors & Semiconductor Equipment
257,FTI.US Equity,TechnipFMC plc,2009-06-04,null,101010,Energy Equipment & Services
258,FTR.US Equity,Frontier Comm's Corp,2001-02-26,2017-03-18,501010,Diversified Telecommunication Services
259,FTV.US Equity,Fortive Corp,2016-07-01,null,201060,Machinery
260,GAS.US Equity,AGL Resources Inc.,2011-12-12,2016-06-29,551010,Electric Utilities
261,GD.US Equity,General Dynamics Corporation,1970-01-01,null,201010,Aerospace & Defense
262,GE.US Equity,General Electric Company,1970-01-01,null,201050,Industrial Conglomerates
263,GENZ.US Equity,Genzyme Corp.,2001-12-13,2011-03-31,352010,Biotechnology
264,GGP.US Equity,GGP Inc,2007-06-29,2008-11-11,601010,Equity Real Estate Investment Trusts (REITs)
265,GGP.US Equity,GGP Inc,2013-12-09,2018-08-26,601010,Equity Real Estate Investment Trusts (REITs)
266,GHC.US Equity,Graham Holdings Co,2007-12-28,2014-09-18,253020,Diversified Consumer Services
267,GILD.US Equity,Gilead Sciences Inc,2004-06-30,null,352010,Biotechnology
268,GIS.US Equity,"General Mills, Inc",1970-01-01,null,302020,Food Products
269,GL.US Equity,Globe Life Inc,1989-04-27,null,403010,Insurance
270,GLW.US Equity,Corning Incorporated,1970-01-01,null,452030,"Electronic Equipment, Instruments & Components"
271,GM.US Equity,General Motors Co,2013-06-06,null,251020,Automobiles
272,GMCR.US Equity,Keurig Green Mountain Inc,2014-03-21,2016-03-02,302020,Food Products
273,GME.US Equity,GameStop Corp.,2007-12-13,2016-04-21,255040,Specialty Retail
274,GNW.US Equity,Genworth Financial Inc.,2005-12-01,2015-11-16,403010,Insurance
275,GOOG.US Equity,Alphabet Inc. Class C,2014-04-03,null,502030,Interactive Media & Services
276,GOOGL.US Equity,Alphabet Inc. Class A,2006-03-31,null,502030,Interactive Media & Services
277,GPC.US Equity,Genuine Parts Co,1973-11-15,null,255040,Specialty Retail
278,GPN.US Equity,Global Payments Inc,2016-04-22,null,451020,IT Services
279,GPS.US Equity,Gap Inc.,1986-08-21,null,255040,Specialty Retail
280,GR.US Equity,Goodrich Corp.,1970-01-01,2012-07-26,201010,Aerospace & Defense
281,GRMN.US Equity,Garmin Ltd,2012-12-11,null,252010,Household Durables
282,GS.US Equity,Goldman Sachs Group Inc,2002-07-19,null,402030,Capital Markets
283,GT.US Equity,The Goodyear Tire & Rubber Co,1970-01-01,2019-02-25,251010,Auto Components
284,GWW.US Equity,W. W. Grainger Inc,1981-05-14,null,201060,Machinery
285,HAL.US Equity,Halliburton Company,1970-01-01,null,101010,Energy Equipment & Services
286,HAR.US Equity,Harman Int'l Industries Inc,2006-01-31,2013-03-12,252010,Household Durables
287,HAS.US Equity,Hasbro Inc.,1984-09-13,null,252020,Leisure Equipment & Products
288,HBAN.US Equity,Huntington Bancshares Inc,1997-08-05,null,401010,Commercial Banks
289,HBI.US Equity,Hanesbrands Inc,2015-03-20,null,252030,"Textiles, Apparel & Luxury Goods"
290,HCA.US Equity,HCA Holdings Inc,2015-01-26,null,351020,Health Care Providers & Services
291,HCBK.US Equity,Hudson City Bancorp Inc,2007-02-14,2015-10-30,401020,Thrifts & Mortgage Finance
292,HD.US Equity,Home Depot Inc,1988-03-03,null,255040,Specialty Retail
293,HES.US Equity,Hess Corp,1984-05-17,null,101020,"Oil, Gas & Consumable Fuels"
294,HIG.US Equity,Hartford Financial Services Group Inc,1995-12-19,null,403010,Insurance
295,HMA.US Equity,Health Management Associates Inc,2001-11-06,2007-02-28,351020,Health Care Providers & Services
296,HOG.US Equity,Harley-Davidson Inc,2000-01-28,2020-06-18,251020,Automobiles
297,HOLX.US Equity,Hologic Inc,2016-03-29,null,351010,Health Care Equipment & Supplies
298,HON.US Equity,Honeywell International Inc,1970-01-01,null,201050,Industrial Conglomerates
299,HOT.US Equity,Starwood Hotels & Resorts Worldwide Inc,2000-11-16,2016-09-21,253010,"Hotels, Restaurants & Leisure"
300,HP.US Equity,Helmerich and Payne Inc,2010-02-26,2020-05-20,101010,Energy Equipment & Services
301,HPC.US Equity,Hercules Inc.,1970-01-01,2008-11-12,151010,Chemicals
302,HPE.US Equity,Hewlett Packard Enterprise Co,2015-11-02,null,452020,Computers & Peripherals
303,HPQ.US Equity,HP Inc,1974-10-17,null,452020,Computers & Peripherals
304,HRB.US Equity,H&R Block Inc,1986-11-28,null,253020,Diversified Consumer Services
305,HRL.US Equity,Hormel Foods Corp.,2009-03-03,null,302020,Food Products
306,HSIC.US Equity,Henry Schein Inc,2015-03-17,null,351020,Health Care Providers & Services
307,HSP.US Equity,Hospira Inc.,2004-04-30,2015-09-01,352020,Pharmaceuticals
308,HST.US Equity,Host Hotels & Resorts,2007-03-19,null,601010,Equity Real Estate Investment Trusts (REITs)
